"game_id","game_date","player_id","career_atbats","career_avg","career_homeruns","career_obp","career_ops","career_rbi","career_slg","career_strikeouts","recent_atbats","recent_avg","recent_homeruns","recent_obp","recent_ops","recent_rbi","recent_slg","recent_strikeouts"
"717792","2023/06/12","641680","3.268","0.273","0.134","0.329","0.773","0.57","0.444","0.637","3.65","0.27","0.08","0.321","0.733","0.87","0.411","0.8"
"717792","2023/06/12","641598","3.029","0.167","0.112","0.209","0.495","0.303","0.286","0.658","3.27","0.236","0.2","0.344","0.778","0.6","0.435","1.48"
"717792","2023/06/12","677649","2.623","0.289","0.101","0.313","0.806","0.485","0.493","0.658","3.33","0.369","0.11","0.404","0.951","0.43","0.548","0.6"
"717792","2023/06/12","665750","3.272","0.26","0.033","0.324","0.674","0.413","0.35","0.858","3.3","0.235","0.3","0.301","0.949","0.58","0.648","0.59"
"717793","2023/06/12","668472","2.817","0.269","0.098","0.357","0.825","0.425","0.468","1.092","3.74","0.268","0.15","0.321","0.73","0.34","0.409","1.85"
"717793","2023/06/12","521692","3.707","0.279","0.242","0.308","0.84","0.626","0.532","0.898","3.87","0.217","0.15","0.218","0.602","0.49","0.383","1.09"
"717793","2023/06/12","669004","3.092","0.185","0.105","0.279","0.633","0.413","0.354","1.054","3.61","0.233","0.04","0.299","0.642","0.27","0.343","1.02"
"717793","2023/06/12","677951","3.704","0.256","0.157","0.293","0.746","0.479","0.453","0.844","4","0.262","0.09","0.262","0.619","0.33","0.357","0.67"
"717793","2023/06/12","686681","2.493","0.195","0.102","0.227","0.575","0.346","0.348","0.818","3.2","0.15","0.05","0.214","0.417","0.24","0.203","0.52"
"717793","2023/06/12","658668","3.024","0.25","0.11","0.293","0.737","0.286","0.444","0.585","2.79","0.287","0.14","0.302","0.94","0.18","0.637","0.41"
"717793","2023/06/12","672580","2.418","0.226","0.021","0.281","0.578","0.332","0.297","0.557","3.21","0.244","0.08","0.361","0.708","0.27","0.347","1.09"
"717793","2023/06/12","671221","1.968","0.376","0.097","0.482","1.113","0.556","0.63","0.548","2.92","0.128","0.07","0.202","0.399","0.24","0.198","1.29"
"717793","2023/06/12","680118","0.833","0.031","0","0.365","0.396","0.028","0.031","0.736","1.7","0.39","0.18","0.447","1.377","0.3","0.93","0.28"
"717789","2023/06/12","665923","2.841","0.259","0.029","0.296","0.678","0.401","0.383","0.486","4.3","0.234","0","0.265","0.539","0.52","0.274","0.63"
"717789","2023/06/12","676116","2.048","0.193","0.046","0.322","0.636","0.239","0.315","0.85","3.64","0.306","0.16","0.431","0.923","0.62","0.492","1.2"
"717789","2023/06/12","657656","3.44","0.214","0.124","0.267","0.644","0.344","0.377","1.031","3.58","0.335","0","0.419","0.827","0.51","0.407","0.9"
"717789","2023/06/12","664913","2.965","0.203","0.129","0.263","0.625","0.372","0.362","0.835","3.3","0.184","0.13","0.289","0.642","0.64","0.353","1.25"
"717789","2023/06/12","667670","2.812","0.213","0.138","0.324","0.702","0.432","0.378","0.97","3.48","0.221","0.21","0.299","0.711","0.5","0.412","1.01"
"717789","2023/06/12","681146","1.54","0.032","0.003","0.183","0.221","0.021","0.038","0.229","2.77","0.248","0.04","0.33","0.641","0.5","0.311","0.64"
"717789","2023/06/12","607054","2.804","0.219","0.081","0.32","0.666","0.318","0.346","0.836","2.8","0.237","0.18","0.332","0.7","0.68","0.368","0.59"
"717789","2023/06/12","675656","2.427","0.237","0.096","0.306","0.702","0.453","0.396","0.812","2.53","0.173","0.2","0.178","0.712","0.2","0.533","0.92"
"717789","2023/06/12","669127","3.039","0.201","0.152","0.247","0.673","0.416","0.426","0.996","3.16","0.203","0.09","0.367","0.704","0.3","0.337","1.18"
"717786","2023/06/12","663743","2.664","0.206","0.08","0.26","0.547","0.258","0.287","0.52","3.1","0.169","0.07","0.217","0.451","0.36","0.234","0.51"
"717786","2023/06/12","641505","1.795","0.155","0.004","0.234","0.409","0.062","0.175","0.621","3.02","0.211","0.02","0.24","0.555","0.44","0.315","1.06"
"717786","2023/06/12","641487","3.251","0.232","0.039","0.343","0.657","0.342","0.315","0.642","4","0.236","0.03","0.317","0.603","0.18","0.286","0.65"
"717786","2023/06/12","677594","3.475","0.254","0.155","0.332","0.78","0.479","0.449","1.039","4.22","0.272","0.31","0.297","0.789","0.76","0.492","1.33"
"717786","2023/06/12","664034","3.622","0.266","0.096","0.321","0.737","0.446","0.415","0.569","4.17","0.408","0.02","0.41","0.992","0.37","0.582","0.82"
"717786","2023/06/12","606192","3.72","0.251","0.186","0.285","0.732","0.606","0.447","1.256","3.68","0.311","0.21","0.398","0.941","0.82","0.542","1.04"
"717786","2023/06/12","553993","3.508","0.228","0.148","0.322","0.719","0.54","0.398","1.173","3.53","0.172","0.04","0.216","0.453","0.5","0.237","1.26"
"717786","2023/06/12","572041","3.061","0.192","0.119","0.235","0.581","0.362","0.346","0.762","2.41","0.199","0","0.266","0.465","0.1","0.199","0.42"
"717786","2023/06/12","664238","2.305","0.174","0.083","0.275","0.605","0.277","0.331","0.804","2.58","0.205","0","0.378","0.598","0.36","0.22","1.11"
"717786","2023/06/12","608596","2.784","0.195","0.12","0.252","0.613","0.324","0.361","1.09","2.81","0.268","0.05","0.338","0.832","0.22","0.494","1.08"
"717786","2023/06/12","676609","1.559","0.184","0.037","0.275","0.615","0.274","0.34","0.511","2.26","0.122","0.01","0.304","0.454","0.3","0.15","0.34"
"717790","2023/06/12","660670","3.722","0.298","0.201","0.389","0.906","0.494","0.517","0.803","4.49","0.339","0.18","0.36","0.932","0.72","0.572","0.55"
"717790","2023/06/12","621566","3.494","0.267","0.295","0.377","0.968","0.767","0.591","1.083","4.06","0.191","0.22","0.281","0.637","0.48","0.356","1.27"
"717790","2023/06/12","663586","3.564","0.281","0.187","0.342","0.833","0.511","0.491","1.018","3.87","0.253","0.12","0.286","0.668","0.47","0.383","0.92"
"717790","2023/06/12","669221","3.308","0.258","0.194","0.346","0.823","0.653","0.477","0.831","3.77","0.285","0.15","0.318","0.796","0.53","0.478","1.07"
"717790","2023/06/12","542303","3.409","0.228","0.176","0.303","0.721","0.509","0.417","0.872","3.66","0.36","0.23","0.384","0.951","0.67","0.568","0.74"
"717790","2023/06/12","592696","3.268","0.241","0.138","0.278","0.709","0.425","0.431","0.748","4.13","0.292","0.22","0.294","0.842","0.67","0.547","1.16"
"717790","2023/06/12","645277","3.646","0.255","0.185","0.309","0.764","0.648","0.455","0.663","3.8","0.229","0.3","0.31","0.769","0.67","0.459","0.32"
"717790","2023/06/12","606115","2.97","0.298","0.129","0.351","0.831","0.463","0.48","0.653","3.62","0.363","0.09","0.391","0.83","0.55","0.439","0.85"
"717790","2023/06/12","671739","2.804","0.225","0.082","0.299","0.693","0.322","0.394","0.651","3.56","0.216","0.1","0.258","0.597","0.29","0.338","0.97"
"717790","2023/06/12","656716","2.578","0.192","0.063","0.292","0.601","0.231","0.309","0.651","3.72","0.149","0.14","0.172","0.473","0.28","0.3","0.59"
"717790","2023/06/12","679529","3.085","0.204","0.061","0.267","0.569","0.316","0.302","0.829","3.61","0.167","0.08","0.288","0.591","0.23","0.303","1.28"
"717790","2023/06/12","681481","2.34","0.232","0.125","0.282","0.714","0.315","0.431","0.663","3.68","0.347","0.12","0.373","0.869","0.31","0.495","1.14"
"717790","2023/06/12","595879","3.678","0.238","0.088","0.262","0.628","0.499","0.366","0.866","4.11","0.17","0.1","0.19","0.462","0.32","0.272","1.45"
